//<Version>ODV Spreadsheet V4.0</Version>
//<Creator>Simona@SIMONA-TOSH</Creator>
//<CreateTime>2014-05-29T01:20:43</CreateTime>
//<Software>Ocean Data View 4.5.3</Software>
//<Source>C:/MEDATLAS_LIGURE/Maps/DYOMEI1981.odv</Source>
//<SourceLastModified>2014-04-17T15:47:37</SourceLastModified>
//<DataField>GeneralField</DataField>
//<DataType>GeneralType</DataType>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	PRES [DECIBAR=10000 PASCALS]	TEMP [CELSIUS DEGREE]	PSAL [P.S.U.]
							550.0000	12.9150	38.4720
							560.0000	12.9170	38.4720
							570.0000	12.9190	38.4720
							580.0000	12.9210	38.4720
							590.0000	12.9210	38.4730
							600.0000	12.9220	38.4720
							610.0000	12.9230	38.4720
							620.0000	12.9210	38.4720
							630.0000	12.9210	38.4710
							640.0000	12.9200	38.4700
							650.0000	12.9170	38.4690
							660.0000	12.9100	38.4680
							670.0000	12.9120	38.4680
							680.0000	12.9110	38.4670
							690.0000	12.9120	38.4670
							700.0000	12.9160	38.4680
							710.0000	12.9160	38.4680
							720.0000	12.9180	38.4690
							730.0000	12.9190	38.4680
							740.0000	12.9200	38.4680
							750.0000	12.9200	38.4690
							760.0000	12.9230	38.4690
							770.0000	12.9250	38.4690
							780.0000	12.9280	38.4690
							790.0000	12.9280	38.4700
							800.0000	12.9290	38.4690
							810.0000	12.9280	38.4680
							820.0000	12.9280	38.4680
							830.0000	12.9290	38.4680
							840.0000	12.9300	38.4690
							850.0000	12.9310	38.4680
							860.0000	12.9300	38.4680
							870.0000	12.9300	38.4670
							880.0000	12.9300	38.4670
							890.0000	12.9300	38.4680
							900.0000	12.9320	38.4670
							910.0000	12.9350	38.4670
							920.0000	12.9350	38.4680
							930.0000	12.9370	38.4680
							940.0000	12.9410	38.4680
							950.0000	12.9400	38.4680
							960.0000	12.9410	38.4680
							970.0000	12.9430	38.4680
							980.0000	12.9430	38.4690
							990.0000	12.9440	38.4680
							1000.0000	12.9460	38.4680
							1010.0000	12.9480	38.4690
							1020.0000	12.9490	38.4680
							1030.0000	12.9500	38.4680
							1040.0000	12.9540	38.4700
							1050.0000	12.9580	38.4700
							1060.0000	12.9560	38.4700
							1070.0000	12.9570	38.4690
							1080.0000	12.9580	38.4690
							1090.0000	12.9590	38.4690
							1100.0000	12.9630	38.4690
							1110.0000	12.9640	38.4700
							1120.0000	12.9700	38.4720
							1130.0000	12.9740	38.4720
							1140.0000	12.9740	38.4720
